,CompanyName,StockName,Year,ZipFileName,ZipFilePath,ExtractedFilePath
0,Adani Enterprises Limited,ADANIENT,2022-2023,AR_22076_ADANIENT_2022_2023_27062023004013_06272023070001.zip,./RE_Download/AR_22076_ADANIENT_2022_2023_27062023004013_06272023070001.zip,drive/MyDrive/extracted_pdfs/AR_22076_ADANIENT_2022_2023_27062023004013.pdf
1,Adani Enterprises Limited,ADANIENT,2021-2022,AR_20208_ADANIENT_2021_2022_04072022234642_07052022070005.zip,./RE_Download/AR_20208_ADANIENT_2021_2022_04072022234642_07052022070005.zip,drive/MyDrive/extracted_pdfs/AR_20208_ADANIENT_2021_2022_04072022234642.pdf
2,Adani Enterprises Limited,ADANIENT,2020-2021,AR_18166_ADANIENT_2020_2021_20062021142831_20062021150007.zip,./RE_Download/AR_18166_ADANIENT_2020_2021_20062021142831_20062021150007.zip,drive/MyDrive/extracted_pdfs/AR_18166_ADANIENT_2020_2021_20062021142831.pdf
3,Adani Enterprises Limited,ADANIENT,2019-2020,AR_16271_ADANIENT_2019_2020_03062020185415.zip,./RE_Download/AR_16271_ADANIENT_2019_2020_03062020185415.zip,drive/MyDrive/extracted_pdfs/AR_2019_2020.pdf
4,Adani Enterprises Limited,ADANIENT,2019-2020,AR_16271_ADANIENT_2019_2020_03062020185415.zip,./RE_Download/AR_16271_ADANIENT_2019_2020_03062020185415.zip,drive/MyDrive/extracted_pdfs/BRR_SR_2019_2020.pdf
5,Adani Enterprises Limited,ADANIENT,2018-2019,AR_14897_ADANIENT_2018_2019_15072019194810_15072019200011.zip,./RE_Download/AR_14897_ADANIENT_2018_2019_15072019194810_15072019200011.zip,drive/MyDrive/extracted_pdfs/AR_14897_ADANIENT_2018_2019_15072019194810.pdf
6,Adani Enterprises Limited,ADANIENT,2017-2018,AR_13025_ADANIENT_2017_2018_13082018185059.zip,./RE_Download/AR_13025_ADANIENT_2017_2018_13082018185059.zip,drive/MyDrive/extracted_pdfs/AR_2017_2018.pdf
7,Adani Enterprises Limited,ADANIENT,2016-2017,AR_11131_ADANIENT_2016_2017_18082017133607.zip,./RE_Download/AR_11131_ADANIENT_2016_2017_18082017133607.zip,drive/MyDrive/extracted_pdfs/AR_2016_2017.pdf
8,Adani Enterprises Limited,ADANIENT,2015-2016,AR_9341_ADANIENT_2015_2016_16082016131013.zip,./RE_Download/AR_9341_ADANIENT_2015_2016_16082016131013.zip,drive/MyDrive/extracted_pdfs/AR_2015_2016.pdf
9,Adani Enterprises Limited,ADANIENT,2014-2015,AR_6736_ADANIENT_2014_2015_28072015141403.zip,./RE_Download/AR_6736_ADANIENT_2014_2015_28072015141403.zip,drive/MyDrive/extracted_pdfs/AR_2014_2015.pdf
